id	TCGA-DD-AACL_StageI	TCGA-WJ-A86L_StageI	TCGA-EP-A2KC_StageI	TCGA-K7-A5RF_StageI	TCGA-G3-AAUZ_StageI	TCGA-DD-AAD1_StageI	TCGA-BD-A3EP_StageI	TCGA-DD-AAE6_StageI	TCGA-DD-AADJ_StageI	TCGA-DD-AAVZ_StageI	TCGA-2Y-A9GX_StageI	TCGA-DD-A1EG_StageI	TCGA-DD-AAE2_StageI	TCGA-XR-A8TC_StageI	TCGA-FV-A2QR_StageI	TCGA-DD-AAD2_StageI	TCGA-FV-A2QQ_StageI	TCGA-K7-A6G5_StageI	TCGA-DD-A4NN_StageI	TCGA-2Y-A9HB_StageI	TCGA-ED-A7PX_StageII	TCGA-DD-AACH_StageII	TCGA-ZS-A9CD_StageII	TCGA-5R-AA1C_StageII	TCGA-FV-A3I0_StageII	TCGA-ED-A5KG_StageII	TCGA-CC-5258_StageII	TCGA-DD-AAVU_StageII	TCGA-4R-AA8I_StageII	TCGA-KR-A7K7_StageII	TCGA-K7-AAU7_StageII	TCGA-5C-A9VG_StageII	TCGA-UB-A7MA_StageII	TCGA-CC-A9FS_StageII	TCGA-DD-A1EH_StageIII	TCGA-DD-A39W_StageIII	TCGA-CC-A7IE_StageIII	TCGA-BC-4073_StageIII	TCGA-CC-A7IH_StageIII	TCGA-CC-A3MA_StageIII	TCGA-BC-A216_StageIII	TCGA-CC-A7II_StageIII	TCGA-ED-A82E_StageIII	TCGA-LG-A9QD_StageIII	TCGA-DD-A4NE_StageIII	TCGA-G3-A25T_StageIII	TCGA-ED-A7XO_StageIII	TCGA-BW-A5NP_StageIV	TCGA-DD-A119_StageIV	TCGA-DD-A1EK_StageIV
hsa-mir-3191	1.06534	0	0.497855	1.50789	1.0679	0.390796	0	0	0	0.452317	0	1.12156	0.608048	0.519798	0.185667	0.488373	0	0.976683	0.314855	0.975723	0.541121	0.238896	0.527032	0.279528	0.480338	0.164058	0.580057	0	0.213341	0	0	0.135442	0	0.417839	0.749376	0.323228	0.977032	0.931461	0.363425	0.241544	0.973195	0	0.902392	0.944225	0	0	0.228393	0	0	0.291489
hsa-mir-6514	1.39999	0.345922	0	0	0.242121	0.787381	0.985613	0.792974	1.46593	0.870684	0.228912	0.606524	0.335824	0.519798	0.185667	0	0	0	0.792156	0	0.125679	0.34498	0.527032	0	0	0.567288	0.801044	0	0.563753	0.47411	0.141264	0.577389	0	0.588697	0.155116	0.323228	0.718621	0.748809	0	0.448387	0.311266	0.962228	0.211673	0	1.03144	0.504632	0.228393	0	0.453203	0
hsa-mir-4732	0.628851	0.624733	0	0.452897	0.242121	0.271917	0	0	0	0.127051	0.426427	0.177147	0.335824	0	0.185667	0.488373	0.456904	0.56946	0	0	0.44793	0	0.197849	0	0.178479	0.164058	0	0	0.711476	0.256444	0.388039	0.577389	0	1.0056	0	3.23462	0	0	0.894859	0.241544	0.567148	0	0	0.944225	0	0.274269	1.83711	0	0.453203	2.81668
hsa-mir-4766	2.4251	0.345922	0.694361	0	0	0.271917	0.477223	0.242646	0.666729	0.127051	0.426427	0.725289	0.608048	0	0.631685	0	1.08255	0	0.573154	0.471605	0.24128	0.536274	0.527032	0.4013	0.260068	0.31135	0.318987	0.304047	0	0.256444	0	0	0.691832	0	0.155116	0.170648	1.19611	0.294902	0	0.541656	0.311266	0.396276	0.211673	0.244681	1.13305	0	0.228393	0.353079	0	1.22861
hsa-mir-4484	0	0	0	0	0.630583	0.500621	0.258255	0.242646	0	0.243813	0.755147	0.177147	0.68846	0.519798	0.631685	0.264754	0	0	0.314855	0.254987	0.863292	0.238896	0	0.146524	0	0	0	0.160018	1.28352	1.11582	0.782491	0.478938	0	1.0056	1.16904	0.81014	0.403599	0.294902	0	0.448387	1.8674	0	0.635154	0.244681	0.200571	0.504632	1.52948	0	0	0.291489
hsa-mir-561	0.863542	0.345922	0	0	0	0.142356	0.667295	0	0	0	0	0.177147	0	0	0	0	0	0	0	0.254987	0.541121	2.28449	0	1.95839	0.480338	0.164058	0	0	0.711476	0	1.34657	0	2.5154	1.0056	0	0	0.718621	0.539634	0	0.348669	0	1.53438	0.396224	0	0.37663	2.15535	0.425522	0	0	0
hsa-mir-211	0	0	0	0	0	0	0.477223	0.242646	0	0.127051	0.228912	0.177147	3.02928	0.901114	0	0.264754	0.456904	0	0	0	0	0	0.37181	0.146524	0.0919977	0.164058	1.98894	0	1.89114	0.256444	0.141264	0.135442	1.01832	0.588697	0.155116	0	0.403599	0	1.28237	0	0	0	0	0	0.200571	0.143642	2.09053	0	1.41188	1.36026
hsa-mir-498	0	2.08799	0	0	0	0	2.11521	0	4.76767	0	0	3.10056	0.120838	0	0.185667	0	0	0.56946	0	0	0	0.238896	0	0	0.0919977	0	0	0	0	0.256444	0	0	0	0	0	0	0	2.34552	0.363425	0	0	0	0.109715	0	0.200571	0	0.893475	0	0	2.26494
hsa-mir-515-2	0	1.39274	0	0	0	0	2.82313	0	3.79954	0	0	3.14385	0	0	0	0	1.08255	0	0	0	0.125679	0	0	0	0	0	0	0	0	0.256444	0	0	0	0	0	0.170648	0	2.06185	0	0	0.311266	0	0.306897	0	0	0	1.34696	0	0	2.86181
hsa-mir-6730	0.628851	0.85829	0.694361	1.07475	0.936328	0.142356	0	0.631786	0	0.127051	0	0.177147	0.335824	0	0	0.264754	0.456904	0.56946	0.792156	0.471605	0	0.34498	0.197849	0.279528	0.0919977	0	1.45005	0.434993	0.399159	0.47411	0.388039	0.259253	0	0.223995	0.155116	0.58713	0	1.09357	0	0	0.311266	0.706828	0.109715	0.244681	0.37663	0.703227	0.598924	0.353079	0.797553	0.922662
