id	TCGA-UB-A7ME_Alive	TCGA-DD-A4NL_Alive	TCGA-DD-A11C_Alive	TCGA-2Y-A9H7_Alive	TCGA-RC-A7S9_Alive	TCGA-G3-AAV2_Alive	TCGA-DD-A1EI_Alive	TCGA-FV-A496_Alive	TCGA-DD-AADL_Alive	TCGA-ZS-A9CF_Alive	TCGA-ZS-A9CFa_Alive	TCGA-RC-A6M3_Alive	TCGA-DD-AACJ_Alive	TCGA-DD-AACG_Dead	TCGA-UB-A7MF_Dead	TCGA-CC-A9FU_Alive	TCGA-DD-A3A4_Dead	TCGA-DD-AAD6_Alive	TCGA-DD-A115_Dead	TCGA-DD-A3A9_Dead	TCGA-DD-A119_Dead
ENSG00000215263.2	1.01081	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.408318	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862	0.74474
ENSG00000138772.11	0.597684	0.683862	0.505077	0.408318	0.25821	0.637079	1.01081	0.431264	0.361877	0.480066	0.480066	0.83542	0.286957	0.313772	0.385399	0.175109	0.74474	0.223321	0.563175	0.455639	0.337687
ENSG00000280388.1	0.74474	0.597684	0.455639	0.385399	0.532361	0.480066	0.313772	0.563175	0.683862	0.637079	0.637079	1.01081	0.337687	0.431264	0.361877	0.505077	0.223321	0.286957	0.408318	0.175109	0.25821
ENSG00000270099.1	0.408318	0.175109	0.223321	0.25821	0.286957	0.313772	1.01081	0.337687	0.361877	0.385399	0.385399	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862	0.74474
ENSG00000225605.1	0.431264	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.408318	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862	0.74474	0.83542
ENSG00000254595.1	0.337687	0.313772	0.532361	0.637079	0.480066	0.385399	0.431264	0.455639	0.563175	0.83542	0.83542	0.74474	0.408318	0.286957	1.01081	0.683862	0.175109	0.223321	0.361877	0.597684	0.25821
ENSG00000233014.1	0.431264	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.408318	0.455639	0.480066	0.505077	0.532361	1.01081	0.563175	0.597684	0.637079	0.683862	0.74474
ENSG00000153976.2	0.74474	0.455639	0.408318	1.01081	0.25821	0.563175	0.597684	0.637079	0.385399	0.175109	0.175109	0.286957	0.337687	0.223321	0.683862	0.480066	0.83542	0.532361	0.431264	0.505077	0.361877
ENSG00000186567.11	0.408318	0.25821	0.337687	0.637079	0.480066	0.223321	0.74474	0.597684	0.532361	0.385399	0.385399	0.683862	0.83542	0.505077	0.455639	0.431264	0.175109	1.01081	0.361877	0.563175	0.286957
ENSG00000226840.1	0.431264	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.408318	0.455639	0.480066	0.505077	1.01081	0.532361	0.563175	0.597684	0.637079	0.683862	0.74474
ENSG00000271199.1	0.431264	0.175109	0.223321	0.505077	0.683862	0.25821	0.286957	0.74474	0.532361	1.01081	1.01081	0.597684	0.313772	0.337687	0.480066	0.83542	0.563175	0.361877	0.385399	0.408318	0.455639
ENSG00000170419.9	0.408318	0.175109	0.223321	0.25821	0.83542	0.286957	0.313772	0.337687	0.361877	0.385399	0.385399	0.431264	0.455639	0.480066	0.74474	0.505077	0.532361	0.563175	0.597684	0.637079	1.01081
ENSG00000055070.15	0.532361	0.25821	0.223321	0.313772	0.337687	0.637079	1.01081	0.563175	0.83542	0.431264	0.431264	0.74474	0.286957	0.505077	0.455639	0.597684	0.480066	0.175109	0.683862	0.361877	0.385399
ENSG00000269584.1	0.337687	0.175109	1.01081	0.223321	0.637079	0.25821	0.286957	0.313772	0.683862	0.83542	0.83542	0.361877	0.385399	0.408318	0.597684	0.431264	0.74474	0.455639	0.480066	0.505077	0.532361
ENSG00000087495.15	0.83542	0.408318	0.313772	0.175109	0.637079	0.431264	1.01081	0.480066	0.505077	0.74474	0.74474	0.683862	0.286957	0.25821	0.337687	0.223321	0.455639	0.563175	0.532361	0.385399	0.361877
ENSG00000247011.2	0.683862	0.25821	0.480066	0.361877	0.385399	0.505077	0.431264	0.563175	0.597684	1.01081	1.01081	0.286957	0.408318	0.532361	0.337687	0.223321	0.637079	0.455639	0.74474	0.175109	0.313772
ENSG00000260490.2	0.74474	0.431264	0.597684	0.683862	0.313772	0.223321	0.637079	0.337687	0.505077	0.408318	0.408318	0.532361	0.563175	0.361877	0.83542	0.175109	0.385399	0.286957	0.480066	1.01081	0.25821
ENSG00000121957.11	0.431264	0.25821	0.505077	0.455639	0.532361	0.223321	0.385399	0.361877	0.597684	1.01081	1.01081	0.683862	0.337687	0.408318	0.563175	0.74474	0.286957	0.480066	0.637079	0.313772	0.175109
ENSG00000258413.1	0.563175	0.637079	0.361877	0.385399	0.480066	0.683862	0.455639	0.505077	0.431264	0.408318	0.408318	1.01081	0.337687	0.313772	0.286957	0.532361	0.74474	0.25821	0.223321	0.175109	0.597684
ENSG00000151962.6	0.361877	0.563175	0.408318	0.597684	0.313772	0.532361	0.385399	0.431264	0.683862	0.480066	0.480066	0.455639	0.83542	1.01081	0.337687	0.637079	0.74474	0.286957	0.25821	0.223321	0.175109
ENSG00000144136.9	0.505077	0.637079	0.563175	0.25821	0.455639	0.286957	0.337687	0.683862	0.361877	0.597684	0.597684	1.01081	0.313772	0.83542	0.480066	0.532361	0.223321	5.40991	0.385399	0.408318	0.431264
ENSG00000169246.15	0.74474	0.431264	0.597684	0.455639	0.532361	0.337687	0.361877	0.505077	0.408318	0.563175	0.563175	0.637079	0.175109	0.223321	1.01081	0.385399	0.313772	0.83542	0.480066	0.286957	0.25821
ENSG00000152990.12	0.286957	0.83542	5.05524	0.563175	0.337687	0.505077	0.532361	1.01081	0.74474	0.637079	0.637079	0.313772	0.361877	0.25821	0.455639	0.480066	0.385399	0.408318	0.597684	0.431264	0.223321
ENSG00000140521.10	0.683862	0.337687	0.563175	0.597684	0.480066	0.455639	0.408318	0.223321	0.637079	0.83542	0.83542	0.74474	0.313772	0.175109	1.01081	0.385399	0.532361	0.286957	0.505077	0.431264	0.25821
ENSG00000218052.5	1.01081	0.683862	0.25821	0.532361	0.563175	0.313772	0.74474	0.286957	0.480066	0.83542	0.83542	0.505077	0.408318	0.223321	0.597684	0.637079	0.385399	0.175109	0.431264	0.455639	0.361877
ENSG00000140443.12	0.597684	0.563175	0.683862	0.313772	0.337687	0.385399	0.83542	0.505077	0.408318	0.431264	0.431264	0.74474	0.223321	0.25821	0.286957	1.01081	0.361877	0.175109	0.480066	0.637079	0.532361
ENSG00000279207.1	0.563175	0.286957	0.455639	0.313772	0.637079	0.74474	0.683862	0.408318	0.83542	0.597684	0.597684	0.532361	0.431264	0.361877	0.337687	0.480066	0.385399	0.175109	1.01081	0.505077	0.25821
ENSG00000164220.6	0.683862	0.431264	0.597684	0.175109	0.361877	0.408318	0.83542	0.223321	0.25821	0.505077	0.505077	0.313772	0.337687	0.286957	0.563175	0.385399	0.637079	0.480066	0.74474	1.01081	0.532361
ENSG00000200972.1	0.74474	0.175109	0.683862	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.385399	0.408318	0.637079	1.01081	0.431264	0.455639	0.480066	0.505077	0.83542	0.532361	0.563175
ENSG00000243064.7	0.385399	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	1.01081	0.74474	0.361877	0.361877	0.408318	0.431264	0.455639	0.480066	0.683862	0.505077	0.532361	0.563175	0.83542	0.597684
ENSG00000237588.2	0.74474	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.408318	0.431264	0.455639	0.83542	1.01081	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079
ENSG00000155926.12	0.83542	0.431264	0.597684	0.532361	0.505077	0.361877	0.74474	0.175109	0.337687	0.563175	0.563175	0.385399	0.25821	0.480066	1.01081	0.408318	0.223321	0.313772	0.455639	0.683862	0.286957
ENSG00000253559.1	0.223321	0.175109	0.313772	0.597684	0.74474	0.480066	0.286957	0.385399	0.505077	1.01081	1.01081	0.637079	0.431264	0.563175	0.455639	0.683862	0.83542	0.25821	0.337687	0.408318	0.361877
ENSG00000259173.2	0.431264	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.408318	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862	0.74474	0.83542
ENSG00000172809.11	6.22929	1.01081	5.53618	6.32104	6.10081	6.11496	5.91764	6.32527	5.63212	6.29187	6.29187	7.24666	8.25139	8.20147	5.6168	7.25806	5.87427	7.38829	5.96334	7.42407	6.90974
ENSG00000265971.1	0.408318	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.683862	0.385399	0.385399	0.74474	0.431264	1.01081	0.455639	0.480066	0.505077	0.532361	0.563175	0.83542	0.597684
ENSG00000164256.8	0.563175	0.175109	0.223321	0.505077	0.25821	0.74474	0.431264	0.455639	0.597684	0.683862	0.683862	0.286957	0.637079	0.83542	0.313772	1.01081	0.337687	0.361877	0.532361	0.385399	0.408318
ENSG00000243012.1	0.74474	1.01081	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.385399	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862	0.83542
ENSG00000273904.1	0.431264	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.408318	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862	0.74474	0.83542
ENSG00000279352.1	0.563175	0.532361	0.505077	0.175109	0.408318	0.223321	0.637079	0.597684	0.455639	0.25821	0.25821	0.480066	0.361877	0.83542	0.385399	0.431264	0.313772	0.74474	0.683862	1.01081	0.337687
ENSG00000224545.1	0.408318	0.175109	0.223321	0.25821	0.286957	0.313772	0.83542	0.337687	0.361877	0.385399	0.385399	1.01081	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.683862
ENSG00000242349.4	0.480066	0.431264	0.313772	0.223321	0.361877	0.505077	0.532361	0.683862	0.83542	0.597684	0.597684	1.01081	0.563175	0.337687	0.175109	0.455639	0.385399	0.637079	0.286957	0.25821	0.408318
ENSG00000127947.14	1.01081	0.286957	0.597684	0.385399	0.337687	0.431264	0.83542	0.505077	0.683862	0.480066	0.480066	0.637079	0.223321	0.408318	0.361877	0.74474	0.532361	0.175109	0.25821	0.563175	0.313772
ENSG00000203650.6	0.175109	0.313772	0.480066	0.74474	0.337687	0.505077	0.683862	0.563175	1.01081	0.637079	0.637079	0.25821	0.455639	0.597684	0.286957	0.532361	0.385399	0.431264	0.408318	0.223321	0.361877
ENSG00000270385.1	0.337687	0.683862	0.455639	0.431264	1.01081	0.532361	0.286957	0.74474	0.480066	0.597684	0.597684	0.385399	0.563175	0.25821	0.505077	0.175109	0.408318	0.83542	0.361877	0.223321	0.313772
ENSG00000173431.2	0.597684	0.175109	0.223321	0.25821	0.286957	0.313772	0.337687	0.74474	0.361877	0.385399	0.385399	0.408318	0.431264	0.455639	0.683862	0.480066	0.505077	0.532361	0.83542	0.563175	0.637079
